"","Nose_x","Nose_y","Nose_p","Ear_left_x","Ear_left_y","Ear_left_p","Ear_right_x","Ear_right_y","Ear_right_p","Lat_left_x","Lat_left_y","Lat_left_p","Lat_right_x","Lat_right_y","Lat_right_p","Center_x","Center_y","Center_p","Tail_base_x","Tail_base_y","Tail_base_p","Tail_end_x","Tail_end_y","Tail_end_p"
"53",701.19037,853.8536,1,735.67346,868.7351,1,729.90265,838.3714,1,758.1292,869.3036,0.893399,752.1899,824.93536,1,780.47034,841.46234,1,816.1254,826.41956,1,933.77167,840.7993,1
"54",696.53577,855.91034,1,731.9617,872.8583,1,730.1906,840.34344,1,755.8488,872.839,0.94853014,750.664,825.7188,0.98617566,778.0957,845.25195,1,812.37744,831.14594,1,933.9137,840.8633,1
"55",690.56586,856.42145,1,727.8271,875.8362,1,726.7107,842.7927,1,752.27423,879.8561,0.9229853,747.7564,829.8311,0.9785197,773.216,850.01544,1,809.3794,832.64417,1,927.56647,842.0998,1
"56",687.15533,857.1321,0.9925978,725.53265,875.60406,1,722.9763,843.5472,1,749.10815,879.6355,0.876386,742.3586,829.91724,1,768.3486,851.7312,1,804.2528,834.7235,1,926.6549,842.36334,1
"57",684.7233,860.29034,1,723.20526,876.13464,1,719.9702,844.22736,1,745.0548,878.42017,0.9034587,738.7108,829.6306,1,765.4065,850.784,1,800.84784,834.3641,1,923.82904,840.6692,1
"58",683.2868,862.96967,1,721.40454,877.09814,0.9668893,715.2335,846.9127,0.9941134,743.6524,878.9928,0.8722655,733.58875,831.3027,1,761.79956,850.749,1,799.32404,831.3286,1,920.2051,840.0464,1
"59",681.7116,863.1015,0.9445698,718.34686,878.2627,1,713.8274,846.81757,1,741.7577,879.37024,0.9221181,733.1954,831.35095,1,760.4087,851.2148,1,798.05475,831.18665,1,916.12213,837.81165,1
"60",678.2735,862.0607,1,716.25806,877.4361,1,711.28015,846.8666,1,738.9719,879.5293,0.94597334,731.8159,831.539,1,759.9343,851.3223,0.96198183,795.3803,832.57104,1,914.5096,838.01306,1
"61",673.57544,859.88745,0.95951957,709.917,872.93933,0.99195385,704.9889,843.88824,1,733.2867,879.6302,0.97894925,724.91315,832.24744,1,753.86273,850.7074,1,792.0013,834.43335,1,914.72943,838.6407,1
"62",666.06415,858.83984,0.95665276,699.2319,872.606,1,696.60724,842.69324,1,724.3889,878.51984,1,721.08923,829.93427,0.9991344,748.9813,851.0839,1,789.3916,836.48444,1,913.03314,846.7273,0.9575861
"63",658.19867,864.8624,0.9867405,693.86993,876.63055,1,687.08264,847.72766,0.98487896,719.31085,880.75183,0.96468,713.57275,833.43427,0.9639574,743.68524,852.16156,0.9709566,783.2508,841.23474,1,909.22644,847.5994,1
"64",650.0768,870.0335,0.93241227,687.107,878.4378,0.9266673,681.39185,845.3193,1,710.1315,881.0941,0.97743934,707.8908,833.4813,0.9962871,735.2762,853.9845,0.96538717,778.66437,844.15814,1,901.2252,846.4117,1
"65",644.32605,870.4841,1,678.22046,879.06635,0.9813914,674.4094,849.8541,1,704.6782,884.3268,0.903274,701.8883,837.41547,1,728.14886,858.83997,0.9332438,768.92145,846.80396,1,893.72284,842.7641,1
"66",637.8792,872.6878,0.9224915,669.8089,879.83704,0.9999737,662.87494,853.3304,1,696.4651,886.0954,0.849617,695.89105,838.3094,1,723.1173,861.3714,0.95178336,762.8583,845.48315,1,887.4995,838.21173,1
"67",635.07996,873.50977,0.6713243,664.9077,880.09576,1,659.69666,853.03735,1,692.11676,885.9524,0.9209012,688.53894,838.677,1,715.2694,860.80396,1,757.6727,842.96313,1,887.4894,836.3274,1
"68",630.2814,871.85077,0.9771913,663.1822,879.722,1,654.3609,855.01404,0.93416256,689.9306,883.4888,0.9031103,681.46643,841.06525,0.99365634,712.62085,859.05084,0.94446313,753.01556,840.77515,1,878.39685,821.18555,1
"69",624.03876,868.60675,1,659.28906,878.09155,0.98635393,649.99457,851.19745,1,684.1743,882.87866,0.9039635,678.72833,840.024,1,708.7358,856.95734,0.96266496,748.62634,841.98865,1,873.61145,817.83344,1
"70",615.8307,862.6241,0.97145677,649.6895,878.97687,1,643.4986,850.9162,1,675.1871,882.07733,0.9290635,671.4522,838.5598,1,701.32935,856.40845,0.9586803,741.06964,842.97943,1,864.45166,821.34607,1
"71",607.79,860.9562,0.98231524,642.21826,878.6237,0.9483785,636.7123,849.6654,1,667.4098,882.49347,0.9318111,665.2321,837.7105,0.93523824,694.73376,858.9338,0.8727936,734.8766,846.01996,1,862.49335,829.59845,1
"72",596.5327,863.8302,1,629.19464,880.1772,0.9598325,623.808,851.9722,1,656.0184,883.55396,0.92934996,656.1392,837.98065,0.9682251,686.01746,859.80365,0.9415173,728.18774,849.9135,1,290.66495,895.4825,1
"73",587.1271,865.8486,1,619.5254,881.1068,0.98308367,615.6745,850.38965,1,646.22485,886.0268,0.90581584,644.406,840.96454,0.9036622,673.9437,862.98956,0.94105184,716.2751,856.8573,1,845.26624,834.9746,1
"74",577.3014,864.7673,1,611.2585,881.3414,0.91883653,604.81793,851.34656,1,639.44086,889.50885,0.88060486,636.25616,841.353,0.9176293,663.60986,864.65753,0.8811237,703.9792,859.4064,1,333.3254,935.81714,1
"75",565.48535,864.0339,1,599.18243,880.97424,0.9383701,595.332,851.6716,1,626.0011,891.416,0.931563,623.1256,841.0686,0.9524683,650.03955,864.49884,0.9219959,695.29956,856.6262,1,815.7773,830.4288,1
"76",555.468,864.245,1,586.34143,880.7971,1,585.76514,851.33826,1,615.4374,889.4471,0.9681547,615.2342,843.8446,0.9404239,642.698,865.53375,0.9999817,684.91016,852.29456,1,813.48535,832.26855,1
"77",548.302,860.74097,0.99415517,578.99927,879.01746,1,578.41864,851.729,1,607.7947,888.2956,0.9127733,606.3995,842.759,0.9857391,632.68854,863.59393,0.96215427,674.3943,849.92346,1,802.74646,824.4671,1
"78",540.2353,858.09015,1,569.2491,878.8845,0.9900668,569.72437,849.66547,1,597.2731,886.3185,0.9275233,596.7548,841.43036,0.9615729,621.9464,862.63403,1,664.49475,849.503,1,795.7182,824.34283,1
"79",528.3432,861.51324,0.9184249,557.98505,880.236,0.9006462,556.14197,849.99445,1,588.3623,885.9823,0.9003693,588.04425,841.1482,0.8911319,615.1698,863.55927,0.87021536,656.90204,856.0645,1,787.8582,832.3112,0.41027707
"80",520.407,870.8322,1,548.7161,881.95917,1,546.61487,852.2959,1,576.81903,885.01917,0.989114,577.0574,839.9832,0.90859807,606.58026,863.3206,0.9829171,647.2501,859.97,1,398.3875,867.61554,1
"81",513.00116,875.28143,0.9209845,545.9473,884.47766,0.9643555,539.45734,853.9832,0.9616796,574.0365,888.96277,0.84751594,573.0852,844.1339,0.8607861,600.60016,864.9566,0.89999884,643.08594,863.7924,1,1041.5145,350.77432,0.12530461
"82",505.15393,878.6825,0.8991816,538.279,885.71326,1,533.2505,853.78723,1,564.1409,891.1009,0.9766333,565.2823,845.5252,0.82576656,593.20844,868.1329,0.9539998,637.1838,864.9967,1,764.3143,855.0159,1
"83",495.13794,878.68225,0.9044594,524.7787,886.8159,1,519.8036,859.66345,0.92087984,555.3588,894.4312,0.944204,552.0136,845.98224,0.8665011,583.86914,868.61316,0.8611116,627.66846,864.5472,1,761.6058,852.8562,1
"84",487.89072,876.19275,0.97045076,514.9437,886.631,0.91911894,512.2174,858.1502,0.89984155,546.53656,894.9405,0.9339232,542.4043,846.56696,0.9243998,572.8315,868.53815,0.83659136,619.3946,861.87494,1,754.0799,848.9142,1
"85",479.63364,872.0187,0.94981337,508.2239,884.6014,1,508.462,854.91437,0.91568553,538.6928,894.56854,1,535.3357,848.18286,0.9503805,564.7948,867.41675,0.95355546,609.53534,856.5314,1,739.9476,844.4096,1
"86",473.1109,867.4533,0.984141,502.01566,883.97675,0.987788,501.21765,855.1663,1,531.736,891.735,0.98497695,530.16394,846.5399,1,558.95996,865.6522,0.855366,602.033,853.5128,1,735.3371,839.0329,1
"87",468.2699,860.3675,0.999735,495.39536,880.6183,0.94251126,495.99075,852.0162,1,526.86804,887.82776,0.9254833,525.7534,843.3288,1,551.9141,863.119,0.8682959,594.559,850.95685,1,727.7316,837.2951,1
"88",462.33908,852.93256,1,489.38617,878.0951,1,490.96786,847.84406,1,521.0793,885.1133,0.9363793,519.7908,840.8808,0.9781047,547.5313,862.0712,0.9967383,586.5788,853.9762,1,719.69604,834.51276,1
"89",457.99026,841.93243,0.9978212,475.93585,872.6103,1,488.8232,842.6358,1,510.2792,883.43195,0.94512594,514.9445,836.4788,0.98086625,538.9763,861.5243,1,578.57104,857.11646,1,706.2482,834.19464,1
