,VIDEO,ANIMAL,BODY-PART,SHAPE NAME,START TIME,END TIME,START FRAME,END FRAME,DURATION (S)
94,fixed_J6-491,Animal_1,Center,bottom_right_corner,623.3,633.9666666666667,18699,19018,10.666666666666666
95,fixed_J6-491,Animal_1,Center,bottom_left_corner,217.16666666666666,225.1,6515,6752,7.933333333333334
96,fixed_J6-491,Animal_1,Center,bottom_left_corner,239.8,242.2,7194,7265,2.4
97,fixed_J6-491,Animal_1,Center,bottom_left_corner,242.3,242.36666666666667,7269,7270,0.06666666666666667
98,fixed_J6-491,Animal_1,Center,bottom_left_corner,584.1333333333333,586.9333333333333,17524,17607,2.8
99,fixed_J6-491,Animal_1,Center,bottom_left_corner,586.9666666666667,587.1,17609,17612,0.13333333333333333
100,fixed_J6-491,Animal_1,Center,bottom_left_corner,587.8,587.9333333333333,17634,17637,0.13333333333333333
101,fixed_J6-491,Animal_1,Center,bottom_left_corner,588.0666666666667,588.3333333333334,17642,17649,0.26666666666666666
102,fixed_J6-491,Animal_1,Center,bottom_left_corner,588.5666666666667,588.6333333333333,17657,17658,0.06666666666666667
103,fixed_J6-491,Animal_1,Center,bottom_left_corner,588.7666666666667,588.8333333333334,17663,17664,0.06666666666666667
104,fixed_J6-491,Animal_1,Center,bottom_left_corner,589.2,590.1666666666666,17676,17704,0.9666666666666667
105,fixed_J6-491,Animal_1,Center,bottom_left_corner,592.1,593.0666666666667,17763,17791,0.9666666666666667
106,fixed_J6-491,Animal_1,Center,bottom_left_corner,593.2666666666667,594.7333333333333,17798,17841,1.4666666666666666
107,fixed_J6-491,Animal_1,Center,bottom_left_corner,594.9333333333333,595.4666666666667,17848,17863,0.5333333333333333
108,fixed_J6-491,Animal_1,Center,bottom_left_corner,595.5,611.5666666666667,17865,18346,16.066666666666666
109,fixed_J6-491,Animal_1,Center,top_left_corner,236.76666666666668,237.86666666666667,7103,7135,1.1
110,fixed_J6-491,Animal_1,Center,top_left_corner,496.3666666666667,498.3,14891,14948,1.9333333333333333
111,fixed_J6-491,Animal_1,Center,top_left_corner,498.43333333333334,500.6,14953,15017,2.1666666666666665
112,fixed_J6-491,Animal_1,Center,top_left_corner,500.6666666666667,500.76666666666665,15020,15022,0.1
113,fixed_J6-491,Animal_1,Center,top_left_corner,501.96666666666664,502.0,15059,15059,0.03333333333333333
114,fixed_J6-491,Animal_1,Center,top_left_corner,502.03333333333336,502.06666666666666,15061,15061,0.03333333333333333
115,fixed_J6-491,Animal_1,Center,top_left_corner,504.9,504.93333333333334,15147,15147,0.03333333333333333
116,fixed_J6-491,Animal_1,Center,top_left_corner,505.6333333333333,505.73333333333335,15169,15171,0.1
117,fixed_J6-491,Animal_1,Center,top_left_corner,507.6,507.6333333333333,15228,15228,0.03333333333333333
118,fixed_J6-491,Animal_1,Center,top_left_corner,515.3666666666667,515.4,15461,15461,0.03333333333333333
119,fixed_J6-491,Animal_1,Center,top_left_corner,515.5,515.5333333333333,15465,15465,0.03333333333333333
120,fixed_J6-491,Animal_1,Center,top_left_corner,515.6666666666666,516.9,15470,15506,1.2333333333333334
121,fixed_J6-491,Animal_1,Center,top_left_corner,517.0666666666667,517.2333333333333,15512,15516,0.16666666666666666
122,fixed_J6-491,Animal_1,Center,top_left_corner,519.1333333333333,519.2666666666667,15574,15577,0.13333333333333333
123,fixed_J6-491,Animal_1,Center,top_left_corner,522.5333333333333,522.5666666666667,15676,15676,0.03333333333333333
124,fixed_J6-491,Animal_1,Center,top_left_corner,522.9333333333333,522.9666666666667,15688,15688,0.03333333333333333
125,fixed_J6-491,Animal_1,Center,top_left_corner,523.0333333333333,523.1333333333333,15691,15693,0.1
126,fixed_J6-491,Animal_1,Center,top_left_corner,523.2,523.3,15696,15698,0.1
127,fixed_J6-491,Animal_1,Center,top_left_corner,523.3666666666667,568.7666666666667,15701,17062,45.4
128,fixed_J6-491,Animal_1,Center,top_left_corner,568.8,569.0,17064,17069,0.2
129,fixed_J6-491,Animal_1,Center,top_left_corner,569.0333333333333,569.1,17071,17072,0.06666666666666667
130,fixed_J6-491,Animal_1,Center,top_left_corner,569.2,578.9,17076,17366,9.7
131,fixed_J6-491,Animal_1,Center,center,226.36666666666667,227.6,6791,6827,1.2333333333333334
132,fixed_J6-491,Animal_1,Center,center,255.96666666666667,256.2,7679,7685,0.23333333333333334
133,fixed_J6-491,Animal_1,Center,center,256.26666666666665,258.0,7688,7739,1.7333333333333334
134,fixed_J6-491,Animal_1,Center,center,258.06666666666666,258.3666666666667,7742,7750,0.3
135,fixed_J6-564,Animal_1,Center,top_right_corner,387.2413793103448,391.0,11230,11338,3.7586206896551726
136,fixed_J6-564,Animal_1,Center,bottom_right_corner,272.0689655172414,272.2758620689655,7890,7895,0.20689655172413793
137,fixed_J6-564,Animal_1,Center,bottom_right_corner,365.7931034482759,381.8965517241379,10608,11074,16.103448275862068
138,fixed_J6-564,Animal_1,Center,bottom_right_corner,382.41379310344826,383.44827586206895,11090,11119,1.0344827586206897
139,fixed_J6-564,Animal_1,Center,bottom_right_corner,392.6551724137931,454.9310344827586,11387,13192,62.275862068965516
140,fixed_J6-564,Animal_1,Center,bottom_right_corner,464.82758620689657,484.7931034482759,13480,14058,19.96551724137931
141,fixed_J6-564,Animal_1,Center,bottom_right_corner,514.5862068965517,538.9655172413793,14923,15629,24.379310344827587
142,fixed_J6-564,Animal_1,Center,bottom_right_corner,539.1724137931035,539.2413793103449,15636,15637,0.06896551724137931
143,fixed_J6-564,Animal_1,Center,bottom_right_corner,539.551724137931,539.7586206896551,15647,15652,0.20689655172413793
144,fixed_J6-564,Animal_1,Center,bottom_right_corner,539.8965517241379,540.1724137931035,15657,15664,0.27586206896551724
145,fixed_J6-564,Animal_1,Center,bottom_right_corner,540.3448275862069,665.3448275862069,15670,19294,125.0
146,fixed_J6-564,Animal_1,Center,bottom_left_corner,0.7241379310344828,269.7931034482759,21,7823,269.0689655172414
147,fixed_J6-564,Animal_1,Center,bottom_left_corner,491.0,493.0689655172414,14239,14298,2.0689655172413794
148,fixed_J6-564,Animal_1,Center,bottom_left_corner,494.37931034482756,494.82758620689657,14337,14349,0.4482758620689655
149,fixed_J6-564,Animal_1,Center,bottom_left_corner,497.1034482758621,498.9655172413793,14416,14469,1.8620689655172413
150,fixed_J6-564,Animal_1,Center,bottom_left_corner,499.17241379310343,499.2413793103448,14476,14477,0.06896551724137931
151,fixed_J6-564,Animal_1,Center,bottom_left_corner,499.7931034482759,500.1034482758621,14494,14502,0.3103448275862069
152,fixed_J6-564,Animal_1,Center,bottom_left_corner,500.2758620689655,500.41379310344826,14508,14511,0.13793103448275862
153,fixed_J6-564,Animal_1,Center,bottom_left_corner,501.51724137931035,507.44827586206895,14544,14715,5.931034482758621
154,fixed_J6-564,Animal_1,Center,top_left_corner,336.7931034482759,336.9655172413793,9767,9771,0.1724137931034483
155,fixed_J6-564,Animal_1,Center,top_left_corner,346.0689655172414,359.41379310344826,10036,10422,13.344827586206897
156,fixed_J6-564,Animal_1,Center,center,270.2758620689655,270.37931034482756,7838,7840,0.10344827586206896
157,fixed_J6-564,Animal_1,Center,center,271.0,271.44827586206895,7859,7871,0.4482758620689655
158,fixed_J6-564,Animal_1,Center,center,299.1034482758621,299.13793103448273,8674,8674,0.034482758620689655
159,fixed_J6-564,Animal_1,Center,center,299.17241379310343,299.2758620689655,8676,8678,0.10344827586206896
160,fixed_J6-564,Animal_1,Center,center,299.6896551724138,299.7586206896552,8691,8692,0.06896551724137931
161,fixed_J6-564,Animal_1,Center,center,300.58620689655174,300.7241379310345,8717,8720,0.13793103448275862
162,fixed_J6-564,Animal_1,Center,center,301.7241379310345,301.82758620689657,8750,8752,0.10344827586206896
163,fixed_J6-564,Animal_1,Center,center,302.2068965517241,302.2413793103448,8764,8764,0.034482758620689655
164,fixed_J6-564,Animal_1,Center,center,302.6896551724138,302.7241379310345,8778,8778,0.034482758620689655
165,fixed_J6-564,Animal_1,Center,center,303.2758620689655,325.3448275862069,8795,9434,22.06896551724138
166,fixed_J6-564,Animal_1,Center,center,361.62068965517244,364.8965517241379,10487,10581,3.2758620689655173
167,fixed_J6-564,Animal_1,Center,center,364.9655172413793,365.0689655172414,10584,10586,0.10344827586206896
168,fixed_J6-564,Animal_1,Center,center,486.9655172413793,489.51724137931035,14122,14195,2.5517241379310347
169,fixed_J6-564,Animal_1,Center,center,509.1034482758621,513.3448275862069,14764,14886,4.241379310344827
